Algorithm,Accuracy,Precision,Recall,F1 Score,Silhouette Score,AUC-ROC
Algorithm1,NA,NA,NA,NA,0.551576359737496,NA
Algorithm2,NA,NA,NA,NA,NA,NA
Algorithm3,NA,NA,NA,NA,0.3164439007050321,NA
Algorithm4,0.9995740741982869,0.9997173858188241,0.9998553084957468,0.9997863424006029,NA,0.9963843931535665
Algorithm5,0.9988261887354364,0.9991021226224746,0.9997207117476041,0.999411321465574,NA,0.9907708080454594
